tripduration,starttime,stoptime,start_station_id,start_station_name,start_station_latitude,start_station_longitude,end_station_id,end_station_name,end_station_latitude,end_station_longitude,bikeid,usertype,birth_year,gender,customer_plan
371,2016-08-29 14:45:02,2016-08-29 14:51:14,516,E 47 St & 1 Ave,40.75206862,-73.96784384,519,Pershing Square North,40.751873,-73.977706,19100,Subscriber,1947,male,""
1330,2016-02-07 16:02:42,2016-02-07 16:24:52,153,E 40 St & 5 Ave,40.752062307,-73.9816324043,405,Washington St & Gansevoort St,40.739323,-74.008119,19039,Subscriber,1950,male,""
830,2017-12-21 12:24:04,2017-12-21 12:37:55,3168,Central Park West & W 85 St,40.78472675,-73.96961715,281,Grand Army Plaza & Central Park S,40.7643971,-73.97371465,17434,Subscriber,1947,male,""
555,2017-05-30 11:04:11,2017-05-30 11:13:26,3260,Mercer St & Bleecker St,40.727063633483063,-73.996621370315538,358,Christopher St & Greenwich St,40.73291553,-74.00711384,28401,Subscriber,1996,male,""
328,2016-09-26 12:53:07,2016-09-26 12:58:35,317,E 6 St & Avenue B,40.72453734,-73.98185424,3263,Cooper Square & E 7 St,40.729236499100061,-73.990868031978607,22740,Subscriber,1951,male,""
226,2016-02-04 19:10:49,2016-02-04 19:14:35,345,W 13 St & 6 Ave,40.73649403,-73.99704374,285,Broadway & E 14 St,40.73454567,-73.99074142,15811,Subscriber,1997,male,""
106,2014-02-27 15:29:13,2014-02-27 15:30:59,470,W 20 St & 8 Ave,40.74345335,-74.00004031,116,W 17 St & 8 Ave,40.74177603,-74.00149746,17113,Subscriber,1997,male,""
758,2016-06-22 17:59:41,2016-06-22 18:12:20,253,W 13 St & 5 Ave,40.73543934,-73.99453948,494,W 26 St & 8 Ave,40.74734825,-73.99723551,19069,Subscriber,1949,female,""
1987,2017-06-11 02:56:54,2017-06-11 03:30:01,406,Hicks St & Montague St,40.69512845,-73.99595065,406,Hicks St & Montague St,40.69512845,-73.99595065,26376,Subscriber,1923,male,""
309,2014-01-02 17:58:12,2014-01-02 18:03:21,311,Norfolk St & Broome St,40.7172274,-73.98802084,502,Henry St & Grand St,40.714215,-73.981346,14718,Subscriber,1950,female,""
2699,2015-05-23 18:46:04,2015-05-23 19:31:04,405,Washington St & Gansevoort St,40.739323,-74.008119,495,W 47 St & 10 Ave,40.76269882,-73.99301222,18791,Subscriber,1949,female,""
114,2016-06-09 08:27:49,2016-06-09 08:29:43,195,Liberty St & Broadway,40.70905623,-74.01043382,376,John St & William St,40.70862144,-74.00722156,24919,Subscriber,1997,female,""
1009,2015-11-27 10:00:21,2015-11-27 10:17:11,3169,Riverside Dr & W 82 St,40.78720869,-73.98128127,3169,Riverside Dr & W 82 St,40.78720869,-73.98128127,21672,Subscriber,1952,male,""
326,2014-12-15 16:12:21,2014-12-15 16:17:47,153,E 40 St & 5 Ave,40.752062307,-73.9816324043,477,W 41 St & 8 Ave,40.75640548,-73.9900262,18674,Subscriber,1950,male,""
273,2016-06-28 18:06:45,2016-06-28 18:11:19,376,John St & William St,40.70862144,-74.00722156,417,Barclay St & Church St,40.71291224,-74.01020234,23801,Subscriber,1996,male,""
640,2015-07-27 17:13:53,2015-07-27 17:24:33,505,6 Ave & W 33 St,40.74901271,-73.98848395,168,W 18 St & 6 Ave,40.73971301,-73.99456405,22881,Subscriber,1999,female,""
772,2018-01-29 09:47:06.722,2018-01-29 09:59:59.591,443,Bedford Ave & S 9 St,40.70853074,-73.96408963,3068,Humboldt St & Varet St,40.7031724,-73.940636,20744,Subscriber,1997,male,""
721,2014-10-26 07:26:17,2014-10-26 07:38:18,254,W 11 St & 6 Ave,40.73532427,-73.99800419,487,E 20 St & FDR Drive,40.73314259,-73.97573881,18643,Subscriber,1948,male,""
271,2015-11-12 13:31:40,2015-11-12 13:36:12,518,E 39 St & 2 Ave,40.74780373,-73.9734419,546,E 30 St & Park Ave S,40.74444921,-73.98303529,22039,Subscriber,1999,male,""
889,2017-06-09 16:01:42,2017-06-09 16:16:31,3053,Marcy Ave & Lafayette Ave,40.6900815,-73.947915,364,Lafayette Ave & Classon Ave,40.68900443,-73.96023854,25413,Subscriber,1946,male,""
924,2016-06-08 18:03:56,2016-06-08 18:19:20,3244,University Pl & E 8 St,40.73143724085228,-73.994903415441513,356,Bialystoker Pl & Delancey St,40.71622644,-73.98261206,23556,Subscriber,1941,male,""
675,2013-11-09 09:44:38,2013-11-09 09:55:53,495,W 47 St & 10 Ave,40.76269882,-73.99301222,152,Warren St & Church St,40.71473993,-74.00910627,17189,Subscriber,1944,male,""
637,2017-10-19 07:59:10,2017-10-19 08:09:47,3164,Columbus Ave & W 72 St,40.7770575,-73.97898475,281,Grand Army Plaza & Central Park S,40.7643971,-73.97371465,24812,Subscriber,1951,male,""
355,2017-09-08 07:53:06,2017-09-08 07:59:01,3458,W 55 St & 6 Ave,40.763093872707969,-73.9783501625061,3223,E 55 St & 3 Ave,40.758996559605116,-73.968653976917267,26631,Subscriber,1952,male,""
1900,2016-06-07 19:04:26,2016-06-07 19:36:06,384,Fulton St & Washington Ave,40.683048,-73.964915,151,Cleveland Pl & Spring St,40.722103786686034,-73.997249007225037,15074,Subscriber,1941,female,""
441,2014-06-04 11:06:17,2014-06-04 11:13:38,257,Lispenard St & Broadway,40.71939226,-74.00247214,263,Elizabeth St & Hester St,40.71729,-73.996375,16690,Subscriber,1948,male,""
211,2014-07-29 14:50:19,2014-07-29 14:53:50,353,S Portland Ave & Hanson Pl,40.68539567,-73.97431458,275,Washington Ave & Greene Ave,40.68650065,-73.96563307,21370,Subscriber,1997,male,""
1029,2013-11-21 18:24:12,2013-11-21 18:41:21,147,Greenwich St & Warren St,40.71542197,-74.01121978,300,Shevchenko Pl & E 6 St,40.728145,-73.990214,20194,Subscriber,1948,male,""
530,2015-11-04 16:51:52,2015-11-04 17:00:42,335,Washington Pl & Broadway,40.72903917,-73.99404649,537,Lexington Ave & E 24 St,40.74025878,-73.98409214,17131,Subscriber,1996,male,""
243,2013-09-20 22:58:22,2013-09-20 23:02:25,335,Washington Pl & Broadway,40.72903917,-73.99404649,161,LaGuardia Pl & W 3 St,40.72917025,-73.99810231,15182,Subscriber,1948,male,""
492,2017-10-30 21:19:50,2017-10-30 21:28:02,301,E 2 St & Avenue B,40.72217444,-73.98368779,280,E 10 St & 5 Ave,40.73331967,-73.99510132,29943,Subscriber,1997,male,""
2827,2016-05-14 17:56:44,2016-05-14 18:43:52,3169,Riverside Dr & W 82 St,40.78720869,-73.98128127,3169,Riverside Dr & W 82 St,40.78720869,-73.98128127,22227,Subscriber,1996,female,""
335,2016-01-15 16:50:32,2016-01-15 16:56:07,307,Canal St & Rutgers St,40.71427487,-73.98990025,502,Henry St & Grand St,40.714215,-73.981346,22459,Subscriber,1952,male,""
1165,2015-06-20 16:21:00,2015-06-20 16:40:00,339,Avenue D & E 12 St,40.72580614,-73.97422494,355,Bayard St & Baxter St,40.71602118,-73.99974372,19401,Subscriber,1998,male,""
684,2014-08-26 16:56:39,2014-08-26 17:08:03,496,E 16 St & 5 Ave,40.73726186,-73.99238967,511,E 14 St & Avenue B,40.72938685,-73.97772429,17177,Subscriber,1996,male,""
1046,2017-11-11 16:19:31,2017-11-11 16:36:58,3423,West Drive & Prospect Park West,40.6610633719006,-73.979452550411224,3423,West Drive & Prospect Park West,40.6610633719006,-73.979452550411224,15078,Subscriber,2000,female,""
209,2018-04-18 14:50:19.547,2018-04-18 14:53:49.506,3244,University Pl & E 8 St,40.73143724085228,-73.994903415441513,285,Broadway & E 14 St,40.73454567,-73.99074142,28667,Subscriber,1999,male,""
206,2017-08-30 19:39:58,2017-08-30 19:43:24,253,W 13 St & 5 Ave,40.73543934,-73.99453948,285,Broadway & E 14 St,40.73454567,-73.99074142,27937,Subscriber,1997,male,""
261,2017-09-15 17:17:45,2017-09-15 17:22:07,507,E 25 St & 2 Ave,40.73912601,-73.97973776,2003,1 Ave & E 18 St,40.733812191966315,-73.980544209480286,21521,Subscriber,1997,male,""
669,2018-02-08 15:49:41.827,2018-02-08 16:00:51.619,383,Greenwich Ave & Charles St,40.735238,-74.000271,3474,6 Ave & Spring St,40.7252556952547,-74.004120826721191,33171,Subscriber,1952,female,""
239,2015-09-28 13:25:30,2015-09-28 13:29:30,401,Allen St & Rivington St,40.72019576,-73.98997825,531,Forsyth St & Broome St,40.71893904,-73.99266288,22183,Subscriber,1951,male,""
2536,2016-07-19 16:22:13,2016-07-19 17:04:30,2010,Grand St & Greene St,40.72165481,-74.00234737,401,Allen St & Rivington St,40.72019576,-73.98997825,16991,Subscriber,1999,male,""
436,2018-03-01 18:09:37.291,2018-03-01 18:16:54.018,307,Canal St & Rutgers St,40.71427487,-73.98990025,268,Howard St & Centre St,40.71910537,-73.99973337,33368,Subscriber,1998,male,""
